board,method,W,n_chunks,bytes_in,bytes_out,compression_ratio,encode_ms_mean,encode_ms_p95,decode_ms_mean,decode_ms_p95,throughput_bytes_per_sec,model_size_kb,ram_estimate_kb,energy_status,profile_status,backend,model_path,notes
raspberry_pi_4,delta_int16,16,128,53248.0,54272.0,0.9811320754716981,0.0494754661370204,0.05996619961479155,0.08405536198097252,0.1020055995013535,8408207.794301605,0.0,0.4140625,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,lz4,16,128,53248.0,52271.0,1.0186910523999924,0.006081184906747694,0.006793299871787894,0.003978664042373718,0.004334000414019101,68407720.92596717,0.0,0.427734375,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,onnx_fc_ae_eps_W16_z32_seed2,16,128,53248.0,,,0.23345137888242107,0.2882740000131889,,,3563911.2691599946,711.208984375,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/fc_ae_eps_W16_z32_seed2.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256
raspberry_pi_4,onnx_tcn_ae_eps_W16_z8_seed3,16,128,53248.0,,,0.1610439296690913,0.18426225005896413,,,5166292.214239748,138.3359375,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/tcn_ae_eps_W16_z8_seed3.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256
raspberry_pi_4,onnx_weighted_fc_ae_eps_W16_z32_seed2,16,128,53248.0,,,0.23914337891639548,0.31330725005318527,,,3479084.40438515,711.208984375,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/weighted_fc_ae_eps_W16_z32_seed2.onnx,full_forward_pass; input_shape=1x16x13; timed_calls=256
raspberry_pi_4,raw,16,128,53248.0,53248.0,1.0,0.00027833858714150966,0.0003149998519802466,0.00025280466549778186,0.00027799978852272034,1494582566.7660737,0.0,0.40625,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,zstd_level_1,16,128,53248.0,49369.0,1.0785715732544714,0.027541151032058526,0.028330299301160267,0.004555997432949728,0.005167000244910014,15104670.081354499,0.0,0.416015625,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,zstd_level_3,16,128,53248.0,47978.0,1.1098420109216725,0.030117718748575346,0.030907000109436922,0.004735877619547561,0.0051083000926155355,13812467.1218559,0.0,0.404296875,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,zstd_level_9,16,128,53248.0,47131.0,1.129787188899026,0.05009221351078471,0.05166330010979436,0.0054053203134193,0.006348449778670328,8304683.918797807,0.0,0.4013671875,not_measured_proxy_only,ok,python_cpu,,sha256=38b8226ea21c67925be408f3fcf0a84d2b47d320faa0ff6ccdb75e922b6ab709
raspberry_pi_4,delta_int16,32,128,106496.0,107520.0,0.9904761904761905,0.04764633854866437,0.048494299971935106,0.0786820129926961,0.08023950031201821,17461992.365902852,0.0,0.8203125,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
raspberry_pi_4,lz4,32,128,106496.0,85985.0,1.2385416060940861,0.007515872380755202,0.00887974970282812,0.004300289072981893,0.00468230005026271,110699058.98487327,0.0,0.8134765625,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
raspberry_pi_4,onnx_fc_ae_eps_W32_z8_seed2,32,128,106496.0,,,0.4295941132923531,0.48290774975612294,,,3873423.6538934894,1103.921875,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/fc_ae_eps_W32_z8_seed2.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256
raspberry_pi_4,onnx_tcn_ae_eps_W32_z32_seed3,32,128,106496.0,,,0.3312031366640156,0.3705977503614122,,,5024107.008044497,505.681640625,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/tcn_ae_eps_W32_z32_seed3.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256
raspberry_pi_4,onnx_weighted_fc_ae_eps_W32_z8_seed2,32,128,106496.0,,,0.43794467967472883,0.48938849931801087,,,3799566.651285476,1103.921875,,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/weighted_fc_ae_eps_W32_z8_seed2.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256
raspberry_pi_4,raw,32,128,106496.0,106496.0,1.0,0.000320822922598533,0.0004260000423528254,0.0002685728996236018,0.00038899997889529914,2593330904.3541656,0.0,0.8125,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
raspberry_pi_4,zstd_level_1,32,128,106496.0,79203.0,1.3445955329974875,0.030909236976128796,0.03437000032135984,0.008254028607268538,0.013330299543667934,26917519.854746126,0.0,0.7734375,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
raspberry_pi_4,zstd_level_3,32,128,106496.0,77756.0,1.3696177786923196,0.034539934889702785,0.039385300033245585,0.006276799515111027,0.009666850019129892,24088059.30459469,0.0,0.7666015625,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
raspberry_pi_4,zstd_level_9,32,128,106496.0,76088.0,1.3996425191883082,0.06971512501034265,0.08117020001918718,0.00685884637145288,0.008018850303415093,11934282.551692592,0.0,0.75390625,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275
